state,county,party,candidate,fraction_votes,latitude,longitude
AL,Autauga,Republican,Donald Trump,0.445,32.524787375,-86.637706375
AL,Autauga,Republican,Ted Cruz,0.205,32.524787375,-86.637706375
AL,Autauga,Republican,Marco Rubio,0.14800000000000002,32.524787375,-86.637706375
AL,Autauga,Republican,Ben Carson,0.146,32.524787375,-86.637706375
AL,Autauga,Republican,John Kasich,0.035,32.524787375,-86.637706375
AL,Autauga,Democrat,Hillary Clinton,0.8,32.524787375,-86.637706375
AL,Autauga,Democrat,Bernie Sanders,0.182,32.524787375,-86.637706375
AL,Baldwin,Republican,Donald Trump,0.469,30.587201769230774,-87.71905611538462
AL,Baldwin,Republican,Marco Rubio,0.193,30.587201769230774,-87.71905611538462
AL,Baldwin,Republican,Ted Cruz,0.17,30.587201769230774,-87.71905611538462
AL,Baldwin,Republican,Ben Carson,0.084,30.587201769230774,-87.71905611538462
AL,Baldwin,Republican,John Kasich,0.059,30.587201769230774,-87.71905611538462
AL,Baldwin,Democrat,Hillary Clinton,0.647,30.587201769230774,-87.71905611538462
AL,Baldwin,Democrat,Bernie Sanders,0.329,30.587201769230774,-87.71905611538462
AL,Barbour,Republican,Donald Trump,0.501,31.816168599999997,-85.4180688
AL,Barbour,Republican,Ted Cruz,0.179,31.816168599999997,-85.4180688
AL,Barbour,Republican,Marco Rubio,0.146,31.816168599999997,-85.4180688
AL,Barbour,Republican,Ben Carson,0.122,31.816168599999997,-85.4180688
AL,Barbour,Republican,John Kasich,0.036000000000000004,31.816168599999997,-85.4180688
AL,Barbour,Democrat,Hillary Clinton,0.906,31.816168599999997,-85.4180688
AL,Barbour,Democrat,Bernie Sanders,0.078,31.816168599999997,-85.4180688
AL,Bibb,Republican,Donald Trump,0.494,33.032728375,-87.080730625
AL,Bibb,Republican,Ted Cruz,0.255,33.032728375,-87.080730625
AL,Bibb,Republican,Marco Rubio,0.112,33.032728375,-87.080730625
AL,Bibb,Republican,Ben Carson,0.099,33.032728375,-87.080730625
AL,Bibb,Republican,John Kasich,0.021,33.032728375,-87.080730625
AL,Bibb,Democrat,Hillary Clinton,0.755,33.032728375,-87.080730625
AL,Bibb,Democrat,Bernie Sanders,0.197,33.032728375,-87.080730625
AL,Blount,Republican,Donald Trump,0.487,33.95194385714286,-86.582932
AL,Blount,Republican,Ted Cruz,0.244,33.95194385714286,-86.582932
AL,Blount,Republican,Marco Rubio,0.122,33.95194385714286,-86.582932
AL,Blount,Republican,Ben Carson,0.1,33.95194385714286,-86.582932
AL,Blount,Republican,John Kasich,0.022,33.95194385714286,-86.582932
AL,Blount,Democrat,Hillary Clinton,0.551,33.95194385714286,-86.582932
AL,Blount,Democrat,Bernie Sanders,0.386,33.95194385714286,-86.582932
AL,Bullock,Republican,Donald Trump,0.565,32.10515375,-85.71408825
AL,Bullock,Republican,Ted Cruz,0.17,32.10515375,-85.71408825
AL,Bullock,Republican,Marco Rubio,0.116,32.10515375,-85.71408825
AL,Bullock,Republican,Ben Carson,0.085,32.10515375,-85.71408825
AL,Bullock,Republican,John Kasich,0.042,32.10515375,-85.71408825
AL,Bullock,Democrat,Hillary Clinton,0.913,32.10515375,-85.71408825
AL,Bullock,Democrat,Bernie Sanders,0.066,32.10515375,-85.71408825
AL,Butler,Republican,Donald Trump,0.5379999999999999,31.6921958,-86.7032796
AL,Butler,Republican,Ted Cruz,0.16699999999999998,31.6921958,-86.7032796
AL,Butler,Republican,Marco Rubio,0.133,31.6921958,-86.7032796
AL,Butler,Republican,Ben Carson,0.118,31.6921958,-86.7032796
AL,Butler,Republican,John Kasich,0.027000000000000003,31.6921958,-86.7032796
AL,Butler,Democrat,Hillary Clinton,0.921,31.6921958,-86.7032796
AL,Butler,Democrat,Bernie Sanders,0.065,31.6921958,-86.7032796
AL,Calhoun,Republican,Donald Trump,0.451,33.76730529411765,-85.83004135294117
AL,Calhoun,Republican,Ted Cruz,0.194,33.76730529411765,-85.83004135294117
AL,Calhoun,Republican,Marco Rubio,0.163,33.76730529411765,-85.83004135294117
AL,Calhoun,Republican,Ben Carson,0.118,33.76730529411765,-85.83004135294117
AL,Calhoun,Republican,John Kasich,0.048,33.76730529411765,-85.83004135294117
AL,Calhoun,Democrat,Hillary Clinton,0.765,33.76730529411765,-85.83004135294117
AL,Calhoun,Democrat,Bernie Sanders,0.218,33.76730529411765,-85.83004135294117
AL,Chambers,Republican,Donald Trump,0.476,32.8801192,-85.3072474
AL,Chambers,Republican,Ted Cruz,0.2,32.8801192,-85.3072474
AL,Chambers,Republican,Ben Carson,0.131,32.8801192,-85.3072474
AL,Chambers,Republican,Marco Rubio,0.131,32.8801192,-85.3072474
AL,Chambers,Republican,John Kasich,0.037000000000000005,32.8801192,-85.3072474
AL,Chambers,Democrat,Hillary Clinton,0.8859999999999999,32.8801192,-85.3072474
AL,Chambers,Democrat,Bernie Sanders,0.095,32.8801192,-85.3072474
AL,Cherokee,Republican,Donald Trump,0.521,34.193099800000006,-85.6118958
AL,Cherokee,Republican,Ted Cruz,0.173,34.193099800000006,-85.6118958
AL,Cherokee,Republican,Marco Rubio,0.152,34.193099800000006,-85.6118958
AL,Cherokee,Republican,Ben Carson,0.1,34.193099800000006,-85.6118958
AL,Cherokee,Republican,John Kasich,0.028,34.193099800000006,-85.6118958
AL,Cherokee,Democrat,Hillary Clinton,0.6609999999999999,34.193099800000006,-85.6118958
AL,Cherokee,Democrat,Bernie Sanders,0.249,34.193099800000006,-85.6118958
AL,Chilton,Republican,Donald Trump,0.493,32.84828114285714,-86.73656785714286
AL,Chilton,Republican,Ted Cruz,0.218,32.84828114285714,-86.73656785714286
AL,Chilton,Republican,Marco Rubio,0.134,32.84828114285714,-86.73656785714286
AL,Chilton,Republican,Ben Carson,0.108,32.84828114285714,-86.73656785714286
AL,Chilton,Republican,John Kasich,0.02,32.84828114285714,-86.73656785714286
AL,Chilton,Democrat,Hillary Clinton,0.731,32.84828114285714,-86.73656785714286
AL,Chilton,Democrat,Bernie Sanders,0.246,32.84828114285714,-86.73656785714286
AL,Choctaw,Republican,Donald Trump,0.499,32.05194136363637,-88.21056609090908
AL,Choctaw,Republican,Ted Cruz,0.21,32.05194136363637,-88.21056609090908
AL,Choctaw,Republican,Marco Rubio,0.147,32.05194136363637,-88.21056609090908
AL,Choctaw,Republican,Ben Carson,0.079,32.05194136363637,-88.21056609090908
AL,Choctaw,Republican,John Kasich,0.032,32.05194136363637,-88.21056609090908
AL,Choctaw,Democrat,Hillary Clinton,0.802,32.05194136363637,-88.21056609090908
AL,Choctaw,Democrat,Bernie Sanders,0.124,32.05194136363637,-88.21056609090908
AL,Clarke,Republican,Donald Trump,0.502,31.662117357142854,-87.84834799999999
AL,Clarke,Republican,Ted Cruz,0.193,31.662117357142854,-87.84834799999999
AL,Clarke,Republican,Marco Rubio,0.175,31.662117357142854,-87.84834799999999
AL,Clarke,Republican,Ben Carson,0.08900000000000001,31.662117357142854,-87.84834799999999
AL,Clarke,Republican,John Kasich,0.027000000000000003,31.662117357142854,-87.84834799999999
AL,Clarke,Democrat,Hillary Clinton,0.93,31.662117357142854,-87.84834799999999
AL,Clarke,Democrat,Bernie Sanders,0.063,31.662117357142854,-87.84834799999999
AL,Clay,Republican,Donald Trump,0.476,33.247311333333336,-85.86219100000001
AL,Clay,Republican,Ted Cruz,0.207,33.247311333333336,-85.86219100000001
AL,Clay,Republican,Marco Rubio,0.125,33.247311333333336,-85.86219100000001
AL,Clay,Republican,Ben Carson,0.122,33.247311333333336,-85.86219100000001
AL,Clay,Republican,John Kasich,0.031,33.247311333333336,-85.86219100000001
AL,Clay,Democrat,Hillary Clinton,0.818,33.247311333333336,-85.86219100000001
AL,Clay,Democrat,Bernie Sanders,0.13699999999999998,33.247311333333336,-85.86219100000001
AL,Cleburne,Republican,Donald Trump,0.483,33.6815862,-85.4502488
AL,Cleburne,Republican,Ted Cruz,0.211,33.6815862,-85.4502488
AL,Cleburne,Republican,Marco Rubio,0.136,33.6815862,-85.4502488
AL,Cleburne,Republican,Ben Carson,0.1,33.6815862,-85.4502488
AL,Cleburne,Republican,John Kasich,0.024,33.6815862,-85.4502488
AL,Cleburne,Democrat,Hillary Clinton,0.732,33.6815862,-85.4502488
AL,Cleburne,Democrat,Bernie Sanders,0.238,33.6815862,-85.4502488
AL,Coffee,Republican,Donald Trump,0.414,31.3705865,-85.99217083333333
AL,Coffee,Republican,Ted Cruz,0.233,31.3705865,-85.99217083333333
AL,Coffee,Republican,Marco Rubio,0.155,31.3705865,-85.99217083333333
AL,Coffee,Republican,Ben Carson,0.132,31.3705865,-85.99217083333333
AL,Coffee,Republican,John Kasich,0.036000000000000004,31.3705865,-85.99217083333333
AL,Coffee,Democrat,Hillary Clinton,0.772,31.3705865,-85.99217083333333
AL,Coffee,Democrat,Bernie Sanders,0.201,31.3705865,-85.99217083333333
AL,Colbert,Republican,Donald Trump,0.474,34.713998833333335,-87.76102183333334
AL,Colbert,Republican,Ted Cruz,0.197,34.713998833333335,-87.76102183333334
AL,Colbert,Republican,Marco Rubio,0.177,34.713998833333335,-87.76102183333334
AL,Colbert,Republican,Ben Carson,0.109,34.713998833333335,-87.76102183333334
AL,Colbert,Republican,John Kasich,0.031,34.713998833333335,-87.76102183333334
AL,Colbert,Democrat,Hillary Clinton,0.65,34.713998833333335,-87.76102183333334
AL,Colbert,Democrat,Bernie Sanders,0.225,34.713998833333335,-87.76102183333334
AL,Conecuh,Republican,Donald Trump,0.59,31.438698666666667,-87.08042433333334
AL,Conecuh,Republican,Ted Cruz,0.16,31.438698666666667,-87.08042433333334
AL,Conecuh,Republican,Marco Rubio,0.108,31.438698666666667,-87.08042433333334
AL,Conecuh,Republican,Ben Carson,0.105,31.438698666666667,-87.08042433333334
AL,Conecuh,Republican,John Kasich,0.013,31.438698666666667,-87.08042433333334
AL,Conecuh,Democrat,Hillary Clinton,0.7140000000000001,31.438698666666667,-87.08042433333334
AL,Conecuh,Democrat,Bernie Sanders,0.191,31.438698666666667,-87.08042433333334
AL,Coosa,Republican,Donald Trump,0.5529999999999999,32.9465996,-86.15119560000001
AL,Coosa,Republican,Ted Cruz,0.195,32.9465996,-86.15119560000001
AL,Coosa,Republican,Marco Rubio,0.108,32.9465996,-86.15119560000001
AL,Coosa,Republican,Ben Carson,0.09,32.9465996,-86.15119560000001
AL,Coosa,Republican,John Kasich,0.03,32.9465996,-86.15119560000001
AL,Coosa,Democrat,Hillary Clinton,0.877,32.9465996,-86.15119560000001
AL,Coosa,Democrat,Bernie Sanders,0.108,32.9465996,-86.15119560000001
AL,Covington,Republican,Donald Trump,0.481,31.206252000000003,-86.435104625
AL,Covington,Republican,Ted Cruz,0.185,31.206252000000003,-86.435104625
AL,Covington,Republican,Marco Rubio,0.133,31.206252000000003,-86.435104625
AL,Covington,Republican,Ben Carson,0.133,31.206252000000003,-86.435104625
AL,Covington,Republican,John Kasich,0.034,31.206252000000003,-86.435104625
AL,Covington,Democrat,Hillary Clinton,0.773,31.206252000000003,-86.435104625
AL,Covington,Democrat,Bernie Sanders,0.197,31.206252000000003,-86.435104625
AL,Crenshaw,Republican,Donald Trump,0.545,31.71421375,-86.318535
AL,Crenshaw,Republican,Ted Cruz,0.219,31.71421375,-86.318535
AL,Crenshaw,Republican,Ben Carson,0.104,31.71421375,-86.318535
AL,Crenshaw,Republican,Marco Rubio,0.091,31.71421375,-86.318535
AL,Crenshaw,Republican,John Kasich,0.026,31.71421375,-86.318535
AL,Crenshaw,Democrat,Hillary Clinton,0.878,31.71421375,-86.318535
AL,Crenshaw,Democrat,Bernie Sanders,0.103,31.71421375,-86.318535
AL,Cullman,Republican,Donald Trump,0.506,34.133396999999995,-86.85571092307693
AL,Cullman,Republican,Ted Cruz,0.203,34.133396999999995,-86.85571092307693
AL,Cullman,Republican,Marco Rubio,0.135,34.133396999999995,-86.85571092307693
AL,Cullman,Republican,Ben Carson,0.11,34.133396999999995,-86.85571092307693
AL,Cullman,Republican,John Kasich,0.027000000000000003,34.133396999999995,-86.85571092307693
AL,Cullman,Democrat,Hillary Clinton,0.608,34.133396999999995,-86.85571092307693
AL,Cullman,Democrat,Bernie Sanders,0.345,34.133396999999995,-86.85571092307693
AL,Dale,Republican,Donald Trump,0.453,31.3891224,-85.616952
AL,Dale,Republican,Ted Cruz,0.219,31.3891224,-85.616952
AL,Dale,Republican,Marco Rubio,0.13,31.3891224,-85.616952
AL,Dale,Republican,Ben Carson,0.125,31.3891224,-85.616952
AL,Dale,Republican,John Kasich,0.036000000000000004,31.3891224,-85.616952
AL,Dale,Democrat,Hillary Clinton,0.77,31.3891224,-85.616952
AL,Dale,Democrat,Bernie Sanders,0.207,31.3891224,-85.616952
AL,Dallas,Republican,Donald Trump,0.597,32.353304300000005,-87.10818160000001
AL,Dallas,Republican,Ted Cruz,0.207,32.353304300000005,-87.10818160000001
AL,Dallas,Republican,Marco Rubio,0.087,32.353304300000005,-87.10818160000001
AL,Dallas,Republican,Ben Carson,0.053,32.353304300000005,-87.10818160000001
AL,Dallas,Republican,John Kasich,0.026,32.353304300000005,-87.10818160000001
AL,Dallas,Democrat,Hillary Clinton,0.7440000000000001,32.353304300000005,-87.10818160000001
AL,Dallas,Democrat,Bernie Sanders,0.154,32.353304300000005,-87.10818160000001
AL,Elmore,Republican,Donald Trump,0.478,32.60206860000001,-86.1777687
AL,Elmore,Republican,Ted Cruz,0.182,32.60206860000001,-86.1777687
AL,Elmore,Republican,Ben Carson,0.14800000000000002,32.60206860000001,-86.1777687
AL,Elmore,Republican,Marco Rubio,0.134,32.60206860000001,-86.1777687
AL,Elmore,Republican,John Kasich,0.036000000000000004,32.60206860000001,-86.1777687
AL,Elmore,Democrat,Hillary Clinton,0.8009999999999999,32.60206860000001,-86.1777687
AL,Elmore,Democrat,Bernie Sanders,0.184,32.60206860000001,-86.1777687
AL,Escambia,Republican,Donald Trump,0.493,31.108769571428574,-87.30583985714286
AL,Escambia,Republican,Marco Rubio,0.18,31.108769571428574,-87.30583985714286
AL,Escambia,Republican,Ted Cruz,0.171,31.108769571428574,-87.30583985714286
AL,Escambia,Republican,Ben Carson,0.102,31.108769571428574,-87.30583985714286
AL,Escambia,Republican,John Kasich,0.034,31.108769571428574,-87.30583985714286
AL,Escambia,Democrat,Hillary Clinton,0.885,31.108769571428574,-87.30583985714286
AL,Escambia,Democrat,Bernie Sanders,0.099,31.108769571428574,-87.30583985714286
AL,Etowah,Republican,Donald Trump,0.461,34.01461281818182,-86.06183245454547
AL,Etowah,Republican,Ted Cruz,0.207,34.01461281818182,-86.06183245454547
AL,Etowah,Republican,Marco Rubio,0.168,34.01461281818182,-86.06183245454547
AL,Etowah,Republican,Ben Carson,0.112,34.01461281818182,-86.06183245454547
AL,Etowah,Republican,John Kasich,0.033,34.01461281818182,-86.06183245454547
AL,Etowah,Democrat,Hillary Clinton,0.746,34.01461281818182,-86.06183245454547
AL,Etowah,Democrat,Bernie Sanders,0.226,34.01461281818182,-86.06183245454547
AL,Fayette,Republican,Donald Trump,0.499,33.7203974,-87.77623200000001
AL,Fayette,Republican,Ted Cruz,0.21,33.7203974,-87.77623200000001
AL,Fayette,Republican,Marco Rubio,0.133,33.7203974,-87.77623200000001
AL,Fayette,Republican,Ben Carson,0.098,33.7203974,-87.77623200000001
AL,Fayette,Republican,John Kasich,0.025,33.7203974,-87.77623200000001
AL,Fayette,Democrat,Hillary Clinton,0.767,33.7203974,-87.77623200000001
AL,Fayette,Democrat,Bernie Sanders,0.172,33.7203974,-87.77623200000001
AL,Franklin,Republican,Donald Trump,0.515,34.42272557142857,-87.87798057142858
AL,Franklin,Republican,Ted Cruz,0.213,34.42272557142857,-87.87798057142858
AL,Franklin,Republican,Marco Rubio,0.134,34.42272557142857,-87.87798057142858
AL,Franklin,Republican,Ben Carson,0.093,34.42272557142857,-87.87798057142858
AL,Franklin,Republican,John Kasich,0.026,34.42272557142857,-87.87798057142858
AL,Franklin,Democrat,Hillary Clinton,0.484,34.42272557142857,-87.87798057142858
AL,Franklin,Democrat,Bernie Sanders,0.301,34.42272557142857,-87.87798057142858
AL,Geneva,Republican,Donald Trump,0.486,31.11804977777778,-85.79162644444443
AL,Geneva,Republican,Ted Cruz,0.237,31.11804977777778,-85.79162644444443
AL,Geneva,Republican,Marco Rubio,0.13,31.11804977777778,-85.79162644444443
AL,Geneva,Republican,Ben Carson,0.093,31.11804977777778,-85.79162644444443
AL,Geneva,Republican,John Kasich,0.023,31.11804977777778,-85.79162644444443
AL,Geneva,Democrat,Hillary Clinton,0.7490000000000001,31.11804977777778,-85.79162644444443
AL,Geneva,Democrat,Bernie Sanders,0.21600000000000005,31.11804977777778,-85.79162644444443
AL,Greene,Republican,Donald Trump,0.5379999999999999,32.781917,-87.92925233333334
AL,Greene,Republican,Ted Cruz,0.21600000000000005,32.781917,-87.92925233333334
AL,Greene,Republican,Marco Rubio,0.121,32.781917,-87.92925233333334
AL,Greene,Republican,Ben Carson,0.07,32.781917,-87.92925233333334
AL,Greene,Republican,John Kasich,0.037000000000000005,32.781917,-87.92925233333334
AL,Greene,Democrat,Hillary Clinton,0.901,32.781917,-87.92925233333334
AL,Greene,Democrat,Bernie Sanders,0.071,32.781917,-87.92925233333334
AL,Hale,Republican,Donald Trump,0.521,32.722386666666665,-87.64093866666667
AL,Hale,Republican,Ted Cruz,0.25,32.722386666666665,-87.64093866666667
AL,Hale,Republican,Marco Rubio,0.117,32.722386666666665,-87.64093866666667
AL,Hale,Republican,Ben Carson,0.078,32.722386666666665,-87.64093866666667
AL,Hale,Republican,John Kasich,0.021,32.722386666666665,-87.64093866666667
AL,Hale,Democrat,Hillary Clinton,0.7959999999999999,32.722386666666665,-87.64093866666667
AL,Hale,Democrat,Bernie Sanders,0.14,32.722386666666665,-87.64093866666667
AL,Henry,Republican,Donald Trump,0.468,31.4573675,-85.25104575
AL,Henry,Republican,Ted Cruz,0.223,31.4573675,-85.25104575
AL,Henry,Republican,Marco Rubio,0.14300000000000002,31.4573675,-85.25104575
AL,Henry,Republican,Ben Carson,0.115,31.4573675,-85.25104575
AL,Henry,Republican,John Kasich,0.028,31.4573675,-85.25104575
AL,Henry,Democrat,Hillary Clinton,0.856,31.4573675,-85.25104575
AL,Henry,Democrat,Bernie Sanders,0.119,31.4573675,-85.25104575
AL,Houston,Republican,Donald Trump,0.404,31.169154833333334,-85.29409041666666
AL,Houston,Republican,Ted Cruz,0.225,31.169154833333334,-85.29409041666666
AL,Houston,Republican,Marco Rubio,0.182,31.169154833333334,-85.29409041666666
AL,Houston,Republican,Ben Carson,0.114,31.169154833333334,-85.29409041666666
AL,Houston,Republican,John Kasich,0.041,31.169154833333334,-85.29409041666666
AL,Houston,Democrat,Hillary Clinton,0.7829999999999999,31.169154833333334,-85.29409041666666
AL,Houston,Democrat,Bernie Sanders,0.201,31.169154833333334,-85.29409041666666
AL,Jackson,Republican,Donald Trump,0.499,34.76750063157895,-85.98995563157895
AL,Jackson,Republican,Marco Rubio,0.16899999999999998,34.76750063157895,-85.98995563157895
AL,Jackson,Republican,Ted Cruz,0.16399999999999998,34.76750063157895,-85.98995563157895
AL,Jackson,Republican,Ben Carson,0.108,34.76750063157895,-85.98995563157895
AL,Jackson,Republican,John Kasich,0.028,34.76750063157895,-85.98995563157895
AL,Jackson,Democrat,Hillary Clinton,0.7,34.76750063157895,-85.98995563157895
AL,Jackson,Democrat,Bernie Sanders,0.269,34.76750063157895,-85.98995563157895
AL,Jefferson,Republican,Donald Trump,0.35,33.54109161904758,-86.88020474285699
AL,Jefferson,Republican,Marco Rubio,0.247,33.54109161904758,-86.88020474285699
AL,Jefferson,Republican,Ted Cruz,0.238,33.54109161904758,-86.88020474285699
AL,Jefferson,Republican,Ben Carson,0.08900000000000001,33.54109161904758,-86.88020474285699
AL,Jefferson,Republican,John Kasich,0.061,33.54109161904758,-86.88020474285699
AL,Jefferson,Democrat,Hillary Clinton,0.816,33.54109161904758,-86.88020474285699
AL,Jefferson,Democrat,Bernie Sanders,0.174,33.54109161904758,-86.88020474285699
AL,Lamar,Republican,Donald Trump,0.504,33.79728266666666,-88.08185900000001
AL,Lamar,Republican,Ted Cruz,0.193,33.79728266666666,-88.08185900000001
AL,Lamar,Republican,Marco Rubio,0.13,33.79728266666666,-88.08185900000001
AL,Lamar,Republican,Ben Carson,0.096,33.79728266666666,-88.08185900000001
AL,Lamar,Republican,John Kasich,0.029,33.79728266666666,-88.08185900000001
AL,Lamar,Democrat,Hillary Clinton,0.616,33.79728266666666,-88.08185900000001
AL,Lamar,Democrat,Bernie Sanders,0.241,33.79728266666666,-88.08185900000001
AL,Lauderdale,Republican,Donald Trump,0.421,34.89318218181818,-87.61794599999999
AL,Lauderdale,Republican,Marco Rubio,0.187,34.89318218181818,-87.61794599999999
AL,Lauderdale,Republican,Ted Cruz,0.183,34.89318218181818,-87.61794599999999
AL,Lauderdale,Republican,Ben Carson,0.121,34.89318218181818,-87.61794599999999
AL,Lauderdale,Republican,John Kasich,0.055,34.89318218181818,-87.61794599999999
AL,Lauderdale,Democrat,Hillary Clinton,0.652,34.89318218181818,-87.61794599999999
AL,Lauderdale,Democrat,Bernie Sanders,0.309,34.89318218181818,-87.61794599999999
AL,Lawrence,Republican,Donald Trump,0.528,34.5829636,-87.35046839999998
AL,Lawrence,Republican,Ted Cruz,0.17600000000000002,34.5829636,-87.35046839999998
AL,Lawrence,Republican,Marco Rubio,0.135,34.5829636,-87.35046839999998
AL,Lawrence,Republican,Ben Carson,0.107,34.5829636,-87.35046839999998
AL,Lawrence,Republican,John Kasich,0.029,34.5829636,-87.35046839999998
AL,Lawrence,Democrat,Hillary Clinton,0.777,34.5829636,-87.35046839999998
AL,Lawrence,Democrat,Bernie Sanders,0.162,34.5829636,-87.35046839999998
AL,Lee,Republican,Donald Trump,0.33,32.582408538461536,-85.36486192307692
AL,Lee,Republican,Ted Cruz,0.232,32.582408538461536,-85.36486192307692
AL,Lee,Republican,Marco Rubio,0.225,32.582408538461536,-85.36486192307692
AL,Lee,Republican,Ben Carson,0.117,32.582408538461536,-85.36486192307692
AL,Lee,Republican,John Kasich,0.071,32.582408538461536,-85.36486192307692
AL,Lee,Democrat,Hillary Clinton,0.736,32.582408538461536,-85.36486192307692
AL,Lee,Democrat,Bernie Sanders,0.254,32.582408538461536,-85.36486192307692
AL,Limestone,Republican,Donald Trump,0.43,34.80869209090909,-86.99062272727274
AL,Limestone,Republican,Ted Cruz,0.214,34.80869209090909,-86.99062272727274
AL,Limestone,Republican,Marco Rubio,0.189,34.80869209090909,-86.99062272727274
AL,Limestone,Republican,Ben Carson,0.108,34.80869209090909,-86.99062272727274
AL,Limestone,Republican,John Kasich,0.039,34.80869209090909,-86.99062272727274
AL,Limestone,Democrat,Hillary Clinton,0.728,34.80869209090909,-86.99062272727274
AL,Limestone,Democrat,Bernie Sanders,0.255,34.80869209090909,-86.99062272727274
AL,Lowndes,Republican,Donald Trump,0.595,32.13299625,-86.59071125
AL,Lowndes,Republican,Ted Cruz,0.163,32.13299625,-86.59071125
AL,Lowndes,Republican,Ben Carson,0.105,32.13299625,-86.59071125
AL,Lowndes,Republican,Marco Rubio,0.099,32.13299625,-86.59071125
AL,Lowndes,Republican,John Kasich,0.031,32.13299625,-86.59071125
AL,Lowndes,Democrat,Hillary Clinton,0.887,32.13299625,-86.59071125
AL,Lowndes,Democrat,Bernie Sanders,0.077,32.13299625,-86.59071125
AL,Macon,Republican,Donald Trump,0.48,32.38014414285714,-85.757629
AL,Macon,Republican,Ted Cruz,0.198,32.38014414285714,-85.757629
AL,Macon,Republican,Ben Carson,0.127,32.38014414285714,-85.757629
AL,Macon,Republican,Marco Rubio,0.124,32.38014414285714,-85.757629
AL,Macon,Republican,John Kasich,0.053,32.38014414285714,-85.757629
AL,Macon,Democrat,Hillary Clinton,0.892,32.38014414285714,-85.757629
AL,Macon,Democrat,Bernie Sanders,0.1,32.38014414285714,-85.757629
AL,Madison,Republican,Donald Trump,0.362,34.74072305263158,-86.56746386842099
AL,Madison,Republican,Marco Rubio,0.26,34.74072305263158,-86.56746386842099
AL,Madison,Republican,Ted Cruz,0.207,34.74072305263158,-86.56746386842099
AL,Madison,Republican,Ben Carson,0.096,34.74072305263158,-86.56746386842099
AL,Madison,Republican,John Kasich,0.06,34.74072305263158,-86.56746386842099
AL,Madison,Democrat,Hillary Clinton,0.6859999999999999,34.74072305263158,-86.56746386842099
AL,Madison,Democrat,Bernie Sanders,0.301,34.74072305263158,-86.56746386842099
AL,Marengo,Republican,Donald Trump,0.539,32.2831121,-87.79320859999999
AL,Marengo,Republican,Ted Cruz,0.212,32.2831121,-87.79320859999999
AL,Marengo,Republican,Marco Rubio,0.118,32.2831121,-87.79320859999999
AL,Marengo,Republican,Ben Carson,0.079,32.2831121,-87.79320859999999
AL,Marengo,Republican,John Kasich,0.024,32.2831121,-87.79320859999999
AL,Marengo,Democrat,Hillary Clinton,0.6579999999999999,32.2831121,-87.79320859999999
AL,Marengo,Democrat,Bernie Sanders,0.2,32.2831121,-87.79320859999999
AL,Marion,Republican,Donald Trump,0.529,34.10567566666666,-87.82450533333333
AL,Marion,Republican,Ted Cruz,0.192,34.10567566666666,-87.82450533333333
AL,Marion,Republican,Marco Rubio,0.139,34.10567566666666,-87.82450533333333
AL,Marion,Republican,Ben Carson,0.08900000000000001,34.10567566666666,-87.82450533333333
AL,Marion,Republican,John Kasich,0.025,34.10567566666666,-87.82450533333333
AL,Marion,Democrat,Hillary Clinton,0.655,34.10567566666666,-87.82450533333333
AL,Marion,Democrat,Bernie Sanders,0.29600000000000004,34.10567566666666,-87.82450533333333
AL,Marshall,Republican,Donald Trump,0.495,34.33350420000001,-86.2926333
AL,Marshall,Republican,Marco Rubio,0.206,34.33350420000001,-86.2926333
AL,Marshall,Republican,Ted Cruz,0.151,34.33350420000001,-86.2926333
AL,Marshall,Republican,Ben Carson,0.098,34.33350420000001,-86.2926333
AL,Marshall,Republican,John Kasich,0.032,34.33350420000001,-86.2926333
AL,Marshall,Democrat,Hillary Clinton,0.621,34.33350420000001,-86.2926333
AL,Marshall,Democrat,Bernie Sanders,0.341,34.33350420000001,-86.2926333
AL,Mobile,Republican,Donald Trump,0.452,30.667282338709708,-88.16803940322573
AL,Mobile,Republican,Ted Cruz,0.215,30.667282338709708,-88.16803940322573
AL,Mobile,Republican,Marco Rubio,0.189,30.667282338709708,-88.16803940322573
AL,Mobile,Republican,Ben Carson,0.077,30.667282338709708,-88.16803940322573
AL,Mobile,Republican,John Kasich,0.046,30.667282338709708,-88.16803940322573
AL,Mobile,Democrat,Hillary Clinton,0.8270000000000001,30.667282338709708,-88.16803940322573
AL,Mobile,Democrat,Bernie Sanders,0.162,30.667282338709708,-88.16803940322573
AL,Monroe,Republican,Donald Trump,0.521,31.541864466666667,-87.36122013333333
AL,Monroe,Republican,Ted Cruz,0.174,31.541864466666667,-87.36122013333333
AL,Monroe,Republican,Marco Rubio,0.158,31.541864466666667,-87.36122013333333
AL,Monroe,Republican,Ben Carson,0.099,31.541864466666667,-87.36122013333333
AL,Monroe,Republican,John Kasich,0.029,31.541864466666667,-87.36122013333333
AL,Monroe,Democrat,Hillary Clinton,0.909,31.541864466666667,-87.36122013333333
AL,Monroe,Democrat,Bernie Sanders,0.076,31.541864466666667,-87.36122013333333
AL,Montgomery,Republican,Donald Trump,0.394,32.267099727272736,-86.22541925000004
AL,Montgomery,Republican,Marco Rubio,0.209,32.267099727272736,-86.22541925000004
AL,Montgomery,Republican,Ted Cruz,0.17600000000000002,32.267099727272736,-86.22541925000004
AL,Montgomery,Republican,Ben Carson,0.127,32.267099727272736,-86.22541925000004
AL,Montgomery,Republican,John Kasich,0.073,32.267099727272736,-86.22541925000004
